ohl:                                    #047ac4  #aaaaaa
whl:                                    #e2373f  #000000
qmjhl:                                  #0062b0  #010101 
fphl:                                   #25304a  #c52634

barrie-colts:                           #ec2634  #001c63
brampton-steelheads:                    #a7aaac  #002868
brantford-bulldogs:                     #fcc82d  #010101
erie-otters:                            #fcc611  #001e43
flint-firebirds:                        #f48226  #002d62
guelph-storm:                           #900028  #010101
kingston-frontenacs:                    #cda435  #010101
kitchener-rangers:                      #0460ac  #e31e37
london-knights:                         #005030  #f4cb55
niagara-ice-dogs:                       #e31a35  #010101
north-bay-battalion:                    #fcd93b  #010101
oshawa-generals:                        #e51937  #041e43
ottawa-67s:                             #ab1b2c  #010101
owen-sound-attack:                      #d53b36  #010101
peterborough-petes:                     #74253f  #010101
saginaw-spirit:                         #bf3139  #042a5c
sarnia-sting:                           #fdc426  #010101
soo-greyhounds:                         #cf2128  #a4aaac
sudbury-wolves:                         #9fa8ab  #045ea4
windsor-spitfires:                      #e51e25  #10284b

brandon-wheat-kings:                    #dcca54  #010101
calgary-hitmen:                         #e0393c  #010101
edmonton-oil-kings:                     #00549b  #000000
everett-silvertips:                     #005a39  #000000
kamloops-blazers:                       #002d62  #000000
kelowna-rockets:                        #048294  #010101
lethbridge-hurricanes:                  #c62035  #000000
medicine-hat-tigers:                    #e46a1c  #010101
moose-jaw-warriors:                     #cc0105  #010101
penticton-vees:                         #8bc0e8  #0c1e42
portland-winterhawks:                   #cc0204  #000000
prince-albert-raiders:                  #11833e  #010101
prince-george-cougars:                  #d3212c  #010101
red-deer-rebels:                        #8f192c  #010101
regina-pats:                            #1b3668  #000000
saskatoon-blades:                       #ffc72c  #0504aa
seattle-thunderbirds:                   #043674  #000000
spokane-chiefs:                         #bb0708  #000000
swift-current-broncos:                  #0c6934  #192857
tri-city-americans:                     #002d62  #c4122d
vancouver-giants:                       #b80305  #010101
victoria-royals:                        #023e82  #010101
wenatchee-wild:                         #002f8e  #000000

baie-comeau drakkar:                    #ed1c24  #003087
blainville-boisbriand armada:           #231f20  #fcfefc
cape breton eagles:                     #000000  #fcb204
charlottetown islanders:                #ac9a6c  #000000
chicoutimi sanguenéens:                 #003263  #000000
drummondville voltigeurs:               #c4222c  #010101
gatineau olympiques:                    #acb2bc  #000000
halifax mooseheads:                     #1c412a  #cda22c
moncton wildcats:                       #f4aa04  #bc0a2c
newfoundland regiment:                  #0b2240  #8a2332
québec remparts:                        #ec0a24  #000000
rimouski océanic:                       #041e54  #000000
rouyn-noranda huskies:                  #d71f21  #000000
saint jogn sea dogs:                    #044e94  #492265
shawinigan cataractes:                  #04265c  #001c63
sherbooke phoenix:                      #002e62  #397ecc
val-d'or foreurs:                       #017143  #000000
victoriaville tigres:                   #fcb825  #000000

monroe moccasins:                       #35262b  #610101
columbus river dragons:                 #43c2cc  #a61d2f
twin city thunderbirds:                 #97070f  #ece9e9
baton rouge kingfish:                   #079fbd  #348c70
binghamton black bears:                 #108040  #010101
blue ridge bobcats:                     #1976bc  #fac11a
danbury hat tricks:                     #ff6e27  #bbbbbb
indiana sentinels:                      #0e1d49  #f8be3c
motor city rockers:                     #531e57  #000000
port huron prowlers:                    #e31937  #ffc83f
topeka scarecrows:                      #c08448  #67615a
watertown wolves:                       #16437a  #fbfbfb
mid-south monarchs:                     #4b286e  #d1a775
fresno falcons:                         #0e3c70  #bc9a5e
minnesota northern lights:              #7c4097  #25ff10
oceanside:                              #1a8dc8  #d0f7fe
stockton thunder:                       #fec526  #030302
